query,doc_index
"Who is Trump's nomination to replace Jerome Powell. Give me information on his education and experience",362
"What other AI investment plays are big investors considering, specifically those that cashed out big on NVIDIA?",391
"What companies in the food industry have been involved in legal disputes over illegal immigration labor practices? What action has been taken against them?",392
"What products is H promising to deliver by the end of the year and what funding are they claiming they need in order to continue development?",432
"What charitable causes is OpenAI contributing to and how does the compensation of their CEO reflect these charitable practices?",434
"Who are the suspects in the cutting of the fiber optic cables in the baltic sea? What actions are European powers taking to apprehend the culprit and rectify the situation?",439
"Why are homebuilder stocks down as the S&P 500 is making gains? How are mortgage rates linked to the general stock market?",464
"Why did NVIDIA's stock not dip significantly after the latest earnings report as it did the quarter before? What is the consensus for how financial experts are feeling about NVIDIA stock?",462
"Why did NVIDIA stock dip after seeing increased revenue from last quarter? Explain what Jensen Huang had to say about the age of AI and what it means for all industries.",470
"How does Microsoft utilize user data to improve model performance for all its users? Are they training on user data?",45
"Have there been any sensitive data leaks within any US federal departments recently? If so, what departments and what personal information such as SSN, and financial information may have been leaked?",49
"How does Bluesky plan on introducing verified status for its users? Does it plan on adopting something similar to twitter or a new approach altogether?",54
"What is Elon Musk's plan for Neuralink in Canada? How do they plan on using it there and with what providers?",277
"Which pharmaceutical stocks are positioned to benefit from the expansion of medicare and medicaid to increase coverage of weight loss drugs?",280
"Berlin's christmas markets looked very different this year. Explain the shift of demographics of Berlin and any relevant statistics that define its makeup.",281
"What are the predicted earnings of Kohls after losing their CEO recently? What is the outlook of the company in the long term?",283
"What do Trump's tariffs mean for China's economy and moving to markets other than the United States?",291
"How has the housing market changed in terms of sales this month compared to last? What does this mean for the price of homes in the coming months?",139
"How will Donald Trump's pledge to make the US the crypto capital affect the price of bitcoin in the short term and the long term?",141
"How will Trump's nomination of RFK affect the domestic and global health communities during his presidency?",143
"How will Trump and his nominations for DOGE change regulatory policy among different industries?",144
"What is the FED's outlook on inflation for consumer goods in the next year?",149
"How is the FED trimming its balance sheet in terms of reverse repurchase agreements?",180
"How does Alberta fighting the Canadian cap on oil affect the oil and gas markets in the short term and the long term",181
"How will Trump's former cabinet fit into the cabinet of his second term? What will be their effect on the overall policy of the administration?",185
"To what extent is BNP Paribas excluding the oil and gas industry from their investments? What are the expected impacts?",186
"What are we seeing reflected in the stock market that is factoring in retaliation to Donald Trump's expected tariffs?",187
"What companies did Tim Cook meet with in China and what was the outcome of the meeting? What does the meeting mean for Apple's business?",261
"How serious is the DOJ's probe into digicel? Is there a significant issue and what was the nature of the alleged offense that the DOJ is looking into?",269
"What are Amazon and SpaceX challenging the NLRB for?",573
"Why is HP considered to be struggling even when sales are ahead of analyst predictions?",86
"Why is Peabody energy dropping and is it possible to make money from the stock off of a buy position?",94
"Why is workday stock dropping even as they posted better than expected quarterly results?",105
"How is Walmart's new approach to DEI affecting their public reputation? What specific things are they doing that are receiving positive and negative feedback?",163
"Why is the dollar weakening and how does this affect the FED's decision to implement rate cuts?",176
"Consumer spending is increasing month over month, however, inflation has still not hit the FED's target of 2%. Why is the FED still expected to reduce rates again in December?",192
"Why did Trump's tariffs not do much in his first term and why are they expected to have a greater impact in his second term?",193
